Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-03-28,112.775,114.104,111.734,112.63,475032.46253558
2017-03-29,114.71,115.846,110.55,112.168,1263196.9135922
2017-03-30,112.823,113.016,109.414,112.967,716604.33146725
2017-03-31,112.486,112.486,109.607,109.607,833476.89490855
2017-04-03,111.302,112.919,109.982,111.638,582589.15720648
2017-04-04,110.742,114.2,110.598,113.67,872598.14384253
2017-04-05,115.288,121.624,114.345,121.624,1407428.2863774
2017-04-06,120.392,121.904,119.063,121.817,1057879.1535125
2017-04-07,119.824,122.568,119.544,122.568,1060709.9481027
2017-04-10,122.096,122.096,119.497,119.497,565138.12892799
2017-04-11,119.497,119.64,115.239,115.568,1037475.832857
2017-04-12,114.517,117.176,113.67,114.999,666556.58925471
2017-04-13,116.376,116.887,112.726,114.951,519168.35089573
2017-04-18,114.951,115.192,111.687,111.687,695450.21679536
2017-04-19,112.726,114.999,111.879,114.517,748772.16859803
2017-04-20,113.766,116.703,113.294,115.239,780301.36351571
2017-04-21,116.425,116.752,114.151,114.151,498476.34319105
2017-04-24,117.368,117.368,115.288,115.568,420945.1785198
2017-04-25,116.425,117.695,115.943,117.368,642620.48679596
2017-04-26,116.607,119.352,116.472,119.207,640764.78982877
2017-04-27,118.264,118.736,116.039,116.039,595063.96843585
2017-04-28,115.846,117.079,115.337,116.511,760274.99753233
2017-05-02,116.983,117.599,115.75,116.607,475613.99040442
2017-05-04,113.574,114.517,110.55,112.341,1648937.8487517
2017-05-05,111.734,112.919,109.934,112.071,995387.75334933
2017-05-08,112.024,112.024,106.294,107.662,1641657.3275223
2017-05-09,107.662,110.742,106.67,110.069,928729.08294025
2017-05-10,109.982,110.839,107.989,108.133,915040.33228467
2017-05-11,109.558,112.168,108.846,108.99,780874.58384357
2017-05-12,109.028,111.205,108.615,111.205,565661.50400996
2017-05-15,112.534,113.429,110.936,111.205,555911.56622318
2017-05-16,110.791,111.59,108.422,108.519,780938.96728619
2017-05-17,107.623,109.934,106.525,106.573,577223.52417376
2017-05-18,106.005,107.805,104.165,106.246,676868.32450049
2017-05-19,106.948,109.414,106.525,108.846,749714.03605704
2017-05-22,109.077,109.895,107.43,109.077,568897.29122303
2017-05-23,107.902,108.326,105.013,105.061,895504.11121932
2017-05-24,104.686,105.725,103.116,104.541,935394.84613689
2017-05-25,105.388,108.662,105.388,108.085,943761.57834991
2017-05-26,107.574,108.942,104.725,104.821,717699.88843445
2017-05-29,104.637,105.206,104.252,105.013,150803.67614582
2017-05-30,104.021,104.59,103.212,103.261,387954.89483165
2017-05-31,103.164,103.549,99.8992,100.044,1377310.3349843
2017-06-01,100.333,103.164,99.8029,103.164,593928.95064898
2017-06-02,103.164,104.165,101.084,102.741,571246.24843612
2017-06-05,102.316,102.644,100.891,102.269,247556.41376767
2017-06-06,101.7,104.445,100.891,104.445,699829.3293363
2017-06-07,103.925,105.764,101.132,101.277,797653.73974502
2017-06-08,101.98,106.439,101.98,106.439,1061741.1216273
2017-06-09,107.805,108.662,105.678,108.374,832475.83622003
2017-06-12,108.181,108.181,104.772,105.061,576406.2698295
2017-06-13,104.214,105.254,103.733,103.829,628863.19892727
2017-06-14,104.59,105.061,101.941,102.22,400265.63212659
2017-06-16,102.316,102.837,100.94,100.94,988416.68802154
2017-06-19,102.028,104.868,102.028,103.357,466315.77515863
2017-06-20,103.598,104.069,99.9964,100.805,650169.96466473
2017-06-21,100.988,104.069,99.5242,104.069,716887.82630332
2017-06-22,103.164,103.502,101.469,102.461,551271.80458389
2017-06-23,103.164,104.637,102.788,102.981,1163245.7726917
2017-06-26,104.214,105.061,103.684,103.78,617604.40400936
2017-06-27,104.59,106.486,103.453,105.437,1069983.2407255
2017-06-28,105.302,105.678,103.829,104.445,775488.18195839
2017-06-29,107.43,108.133,105.582,106.573,459697.78032264
2017-06-30,106.67,106.813,103.925,104.725,424870.49163451
2017-07-03,105.254,106.486,103.636,105.35,595184.42778011
2017-07-04,103.733,106.149,103.636,105.813,273365.8667182
2017-07-05,105.157,106.948,104.868,105.582,466006.31925699
2017-07-06,106.005,107.478,104.725,105.35,319428.06614391
2017-07-07,105.582,106.149,102.788,102.788,607729.85310784
2017-07-10,103.164,103.636,101.373,101.893,379537.27893011
2017-07-11,102.596,104.021,102.51,103.029,408836.93753633
2017-07-12,104.021,107.382,103.549,107.382,1029688.5516276
2017-07-13,108.384,109.77,107.902,109.241,829387.50785941
2017-07-14,108.768,109.818,108.191,109.482,507698.75212537
2017-07-17,110.146,114.777,110.146,114.73,1175657.238921
2017-07-18,114.537,116.357,113.391,115.548,988594.26171006
2017-07-19,115.875,117.214,114.257,115.971,909238.55335031
2017-07-20,115.924,116.877,113.063,113.632,849519.79499033
2017-07-21,114.45,115.828,113.208,113.208,696575.88859863
2017-07-24,113.016,113.632,111.58,111.58,754313.29843404
2017-07-25,114.585,116.453,113.776,116.453,1397615.0035906
2017-07-26,117.648,119.121,116.973,118.408,978908.70736591
2017-07-27,118.793,119.939,117.069,118.986,646895.7550746
2017-07-28,117.503,117.744,115.731,116.212,795043.09499095
2017-07-31,118.119,119.265,116.501,116.781,1083935.7558073
2017-08-01,117.118,117.166,114.777,115.548,1109353.715889
2017-08-02,115.548,116.405,113.68,113.68,694117.89491013
2017-08-03,113.439,115.018,112.678,114.306,588647.43146871
2017-08-04,115.452,115.548,113.68,114.537,480431.32573224
2017-08-07,114.537,116.501,114.016,116.068,573156.98286233
2017-08-08,115.971,119.121,115.5,119.073,748421.17499148
2017-08-09,119.362,119.746,116.742,117.695,678964.94015621
